# Species	Genes	Alg.-Conn.	Ht_new.faa	Pb_new.faa	Pc_new.faa	Pf_new.faa	Pk_rmScaff_new.faa	Pv_new.faa	Py_new.faa	Tg_new.faa
8	10	0.104	542_g	3272_g,4993_g	1705_g	1471_g	1760_g	1676_g	2574_g	10869_g,11666_g
7	8	0.501	*	5475_g	4085_g	3054_g	4176_g	4101_g	3545_g	3632_g,2951_g
7	8	0.5	*	132_g	471_g	518_g	484_g	453_g	1657_g	10591_g,11388_g
7	8	0.489	*	1124_g	2363_g	2352_g	2430_g	2323_g	1416_g	6821_g,8092_g
7	8	0.477	*	1508_g	4117_g	3084_g	4216_g	4134_g	3578_g	4723_g,5195_g
7	8	0.473	*	4292_g	2674_g	699_g	2750_g	2649_g	763_g	11040_g,11837_g
7	8	0.468	*	3901_g	521_g	3649_g	537_g	500_g	1606_g	2586_g,3267_g
7	8	0.466	*	254_g	1958_g	83_g	1995_g	1918_g	1020_g	12953_g,9708_g
7	8	0.464	*	6797_g	3588_g	3241_g	3673_g	3700_g	3148_g	6848_g,8066_g
7	8	0.457	*	4270_g	995_g	278_g	1027_g	979_g	369_g	3112_g,3793_g
7	8	0.438	*	1191_g	1140_g	1890_g	1183_g	1123_g	509_g	2872_g,3553_g
7	8	0.435	*	3057_g	3569_g	3223_g	3654_g	3719_g	3169_g	4865_g,5337_g
7	8	0.432	*	3706_g	2562_g	1046_g	2633_g	2537_g	2350_g	13070_g,9596_g
7	8	0.415	*	4136_g	1534_g	2135_g	1581_g	1512_g	3354_g	4512_g,8527_g
7	8	0.407	*	3314_g	409_g	574_g	420_g	396_g	1710_g	11291_g,12088_g
7	8	0.406	*	151_g	3110_g	4870_g	3177_g	3083_g	4214_g	3903_g,8683_g
7	8	0.402	*	3683_g	2277_g	2265_g	2344_g	2238_g	1331_g	2880_g,3561_g
7	8	0.4	*	339_g	3794_g	4032_g	3875_g	3789_g	2281_g	3080_g,3761_g
7	8	0.396	*	1120_g	2263_g	2250_g	2327_g	2223_g	1317_g	13398_g,9270_g
7	8	0.389	*	4194_g	3753_g	3994_g	3831_g	3749_g	2965_g	3122_g,3803_g
7	8	0.381	*	926_g	877_g	399_g	912_g	857_g	261_g	13193_g,9473_g
7	8	0.374	*	2843_g	712_g	3459_g	737_g	690_g	84_g	13028_g,9636_g
7	8	0.369	*	3106_g	754_g	3416_g	790_g	730_g	45_g	13333_g,9337_g
7	8	0.366	*	3537_g	4472_g	2629_g	4585_g	4479_g	3993_g	4741_g,5213_g
7	8	0.365	*	6998_g	138_g	4607_g	151_g	131_g	805_g	1753_g,936_g
7	8	0.358	*	3420_g	3564_g	3217_g	3646_g	3724_g	3175_g	7380_g,7538_g
7	8	0.356	*	18_g	36_g	4703_g	43_g	33_g	900_g	3679_g,2998_g
7	8	0.348	*	2089_g	210_g	4538_g	222_g	199_g	4399_g	13247_g,9421_g
7	8	0.347	*	3539_g	3802_g	4039_g	3882_g	3796_g	2274_g	1739_g,922_g
7	8	0.342	*	995_g	1227_g	1809_g	1273_g	1208_g	596_g	10987_g,11784_g
7	8	0.335	*	3259_g	257_g	4490_g	275_g	246_g	4450_g	2893_g,3574_g
7	8	0.313	*	3435_g	3186_g	4804_g	3259_g	3163_g	4148_g	10150_g,12371_g
7	8	0.311	*	3229_g	680_g	3494_g	703_g	655_g	118_g	2015_g,2244_g
7	8	0.309	*	3092_g	1480_g	2084_g	1526_g	1458_g	3306_g	108_g,283_g
7	8	0.3	*	2938_g	3866_g	4106_g	3950_g	3859_g	2205_g	6992_g,7920_g
7	8	0.295	*	2499_g	1536_g	2138_g	1583_g	1514_g	3355_g	11207_g,12004_g
7	8	0.293	*	3249_g	3878_g	4118_g	3962_g	3871_g	2193_g	6934_g,7977_g
7	8	0.293	*	3891_g	992_g	282_g	1023_g	976_g	365_g	13254_g,9414_g
7	8	0.29	*	691_g	2631_g	742_g	2705_g	2608_g	721_g	6946_g,7965_g
7	8	0.287	*	1130_g	3264_g	935_g	3330_g	3244_g	3216_g	2222_g,2036_g
7	8	0.286	*	6742_g	2586_g	1071_g	2659_g	2561_g	678_g	10637_g,11434_g
7	8	0.285	*	1537_g	4397_g	3735_g	4508_g	4403_g	2824_g	2259_g,2000_g
7	8	0.28	*	1325_g	810_g	463_g	846_g	795_g	201_g	5571_g,6677_g
7	8	0.279	*	4913_g	2553_g	1037_g	2619_g	2527_g	2359_g	12877_g,8996_g
7	8	0.269	*	1163_g	3799_g	4037_g	3880_g	3794_g	2276_g	4089_g,8869_g
7	8	0.267	*	3894_g	994_g	279_g	1026_g	978_g	368_g	11193_g,11990_g
7	8	0.266	*	7232_g	75_g	4667_g	83_g	70_g	864_g	6715_g,8194_g
7	8	0.265	*	2968_g	2398_g	2385_g	2474_g	2356_g	1448_g	2369_g,1893_g
7	8	0.264	*	352_g	2215_g	2197_g	2275_g	2171_g	1267_g	7255_g,7664_g
7	8	0.258	*	6969_g	4253_g	3877_g	4369_g	4262_g	2316_g	13436_g,9229_g
7	8	0.256	*	2891_g	1992_g	117_g	2032_g	1951_g	1052_g	13371_g,9297_g
7	8	0.255	1784_g	5089_g	386_g	597_g	394_g	376_g,5542_g	1731_g	*
7	8	0.255	1929_g	*	1314_g	1727_g	1361_g	1295_g	4751_g	7087_g,7829_g
7	8	0.253	*	1902_g	4245_g	3884_g	4361_g	4255_g	2322_g	5997_g,6254_g
7	8	0.252	*	2337_g	3312_g	886_g	3382_g	3292_g	3260_g	2948_g,3629_g
7	8	0.247	*	4154_g	3179_g	4810_g	3252_g	3156_g	4157_g	5642_g,6604_g
7	8	0.243	*	1761_g	377_g	604_g	385_g	367_g	1739_g	5833_g,6415_g
7	8	0.24	741_g	*	497_g	3674_g	508_g	477_g	1630_g	1937_g,2324_g
7	8	0.238	*	3178_g	217_g	4531_g	230_g	206_g	4406_g	156_g,234_g
7	8	0.232	*	1712_g	970_g	303_g	1002_g	955_g	345_g	10738_g,11535_g
7	8	0.232	1835_g	3000_g	*	1970_g	1459_g	1390_g	4847_g	10845_g,11642_g
7	8	0.229	*	3639_g	4812_g	2956_g	4918_g	4805_g	3674_g	562_g,611_g
7	8	0.227	*	3556_g	2425_g	2417_g	2495_g	2382_g	1473_g	5878_g,6372_g
7	8	0.224	1326_g	*	914_g	359_g	953_g	896_g	298_g	13409_g,9259_g
7	8	0.221	*	4203_g	4108_g	3076_g	4203_g	4125_g	3569_g	2471_g,2162_g
7	8	0.215	*	1335_g	4160_g	3121_g	4258_g	4175_g	3617_g	6793_g,8120_g
7	8	0.215	*	467_g	232_g	4514_g	247_g	220_g	4423_g	3648_g,2967_g
7	8	0.213	*	1579_g	2163_g	2146_g	2218_g	2120_g	1215_g	4984_g,5456_g
7	8	0.209	*	169_g	2350_g	2337_g	2418_g	2308_g	1402_g	8505_g,4490_g
7	8	0.209	*	693_g	1285_g	1756_g	1330_g	1265_g	4722_g	4727_g,5199_g
7	8	0.202	*	3419_g	2405_g	2392_g	2437_g	2363_g	1456_g	12542_g,9978_g
7	8	0.202	1077_g	*	2371_g	2360_g	2449_g	2331_g	1424_g	5731_g,6517_g
7	8	0.198	*	1555_g	4336_g	3795_g	4444_g	4345_g	2883_g	1149_g,1489_g
7	8	0.198	*	2944_g	3943_g	4183_g	4027_g	3939_g	2131_g	13577_g,9087_g
7	8	0.198	330_g	*	1699_g	1477_g	1755_g	1671_g	2579_g	6054_g,6198_g
7	8	0.197	*	6047_g	4611_g	2767_g	4722_g	4615_g	3865_g	10805_g,11602_g
7	8	0.195	893_g	3751_g	*	352_g	961_g	904_g	306_g	3430_g,2749_g
7	8	0.192	*	21_g	33_g	4706_g	40_g	30_g	903_g	7073_g,7843_g
7	8	0.191	*	993_g	2346_g	2334_g	2415_g	2305_g	1399_g	5835_g,6413_g
7	8	0.19	*	656_g	563_g	3609_g	578_g	540_g	1568_g	10262_g,12260_g
7	8	0.189	*	6541_g	4256_g	3874_g	4373_g	4266_g	2313_g	6739_g,8171_g
7	8	0.188	*	101_g	1222_g	1814_g	1268_g	1203_g	591_g	4017_g,8797_g
7	8	0.181	*	6888_g	2403_g	2390_g	2435_g	2361_g	1454_g	10937_g,11734_g
7	8	0.179	*	777_g	862_g	414_g	898_g	842_g	247_g	13544_g,9121_g
7	8	0.178	*	3633_g	3911_g	4150_g	3993_g	3906_g	2162_g	8272_g,4336_g
7	8	0.177	*	6734_g	3962_g	4201_g	4053_g	3959_g	2111_g	8825_g,4045_g
7	8	0.176	*	4411_g	3183_g	4807_g	3256_g	3160_g	4151_g	10439_g,12820_g
7	8	0.175	*	3574_g	2146_g	773_g	2198_g	2103_g	1199_g	13500_g,9166_g
7	8	0.175	*	3898_g	4195_g	3152_g	4295_g	4206_g	631_g	7384_g,7534_g
7	8	0.175	*	6383_g	4233_g	3896_g	4342_g	4242_g	668_g	4939_g,5411_g
7	8	0.175	*	6673_g	1558_g	1613_g	1611_g	1537_g	2716_g	4158_g,8938_g
7	8	0.174	*	4007_g	3131_g	4850_g	3205_g	3103_g	4192_g	7271_g,7647_g
7	8	0.172	*	5512_g	3117_g	4862_g	3190_g	3090_g	4206_g	3332_g,2651_g
7	8	0.171	*	1967_g	84_g	4659_g	93_g	79_g	854_g	5378_g,4906_g
7	8	0.171	*	3792_g	4700_g	2853_g	4811_g	4700_g	3774_g	11028_g,11825_g
7	8	0.168	*	498_g	2764_g	4357_g	2833_g	2737_g	1944_g	10318_g,12207_g
7	8	0.166	684_g	*	140_g	4605_g	153_g	133_g	803_g	10717_g,11514_g
7	8	0.161	262_g	*	2313_g	2301_g	2380_g	2271_g	1366_g	5201_g,4729_g
7	8	0.16	*	2879_g	213_g	4535_g	225_g	202_g	4402_g	1870_g,2391_g
7	8	0.159	*	1269_g	1219_g	1816_g	1265_g	1201_g	589_g	4577_g,8592_g
7	8	0.159	*	2898_g	2732_g	4393_g	2799_g	2703_g	1978_g	10426_g,12833_g
7	8	0.159	240_g	*	228_g	4518_g	242_g	216_g	4419_g	10985_g,11782_g
7	8	0.156	*	3065_g	1998_g	123_g	2038_g	1957_g	1058_g	13648_g,9015_g
7	8	0.155	99_g	4986_g,3253_g	1428_g	1982_g	1471_g	1402_g	4859_g	*
7	8	0.154	*	6975_g	3440_g	5129_g	3517_g	3435_g	4602_g	10775_g,11572_g
7	8	0.153	*	2751_g	1918_g	44_g	1952_g	1880_g	981_g	457_g,717_g
7	8	0.153	*	6577_g	4560_g	2721_g	4675_g	4569_g	3908_g	785_g,391_g
7	8	0.151	*	1026_g	1468_g	2073_g	1515_g	1447_g	4114_g	10286_g,12238_g
7	8	0.151	*	6691_g	2883_g	5016_g	2959_g	2851_g	2764_g	10602_g,11399_g
7	8	0.149	*	1618_g	2147_g	772_g	2199_g	2104_g	1200_g	12563_g,9958_g
7	8	0.149	*	2701_g	3399_g	5098_g	3480_g	3382_g	4570_g	6840_g,8073_g
7	8	0.149	*	402_g	1527_g	2128_g	1574_g	1505_g	3347_g	7071_g,7845_g
7	8	0.146	*	3664_g	63_g	4678_g	71_g	58_g	875_g	4510_g,8525_g
7	8	0.145	*	2055_g	694_g	3476_g	720_g	672_g	102_g	2004_g,2254_g
7	8	0.145	*	2917_g	2657_g	716_g	2733_g	2634_g	747_g	13549_g,9116_g
7	8	0.144	*	2636_g	2063_g	187_g	2108_g	2022_g	1117_g	2540_g,3221_g
7	8	0.144	*	3790_g	2821_g	1252_g	2895_g	2794_g	1889_g	12956_g,9705_g
7	8	0.143	*	2196_g	357_g	625_g	364_g	346_g	1759_g	4621_g,5093_g
7	8	0.141	*	53_g	2858_g	4991_g	2933_g	2827_g	2785_g	7360_g,7558_g
7	8	0.14	*	2114_g	4420_g	2575_g	4526_g	4423_g	4045_g	12728_g,9796_g
7	8	0.139	*	580_g	569_g	3603_g	584_g	546_g	4287_g	4992_g,5464_g
7	8	0.138	*	1474_g	129_g	4615_g	142_g	122_g	813_g	1844_g,1027_g
7	8	0.138	*	6800_g	4550_g	2711_g	4665_g	4559_g	3918_g	10912_g,11709_g
7	8	0.133	*	4204_g	2544_g	1027_g	2610_g	2518_g	2368_g	2035_g,2223_g
7	8	0.129	1561_g	1263_g,667_g	4755_g	2903_g	4865_g	4753_g	3727_g	*
7	8	0.128	*	3051_g	1768_g	1407_g	1815_g	1739_g	2514_g	13183_g,9483_g
7	8	0.126	*	2810_g	1345_g	1697_g	1392_g	1324_g	4780_g	13148_g,9518_g
7	8	0.126	*	3438_g	800_g	472_g	837_g	786_g	191_g	5176_g,4704_g
7	8	0.125	*	925_g	876_g	400_g	911_g	856_g	260_g	3522_g,2841_g
7	8	0.119	*	148_g	1034_g	241_g	1068_g	1016_g	406_g	6919_g,7993_g
7	8	0.119	*	2682_g	4113_g	3080_g	4209_g	4130_g	3574_g	2557_g,3238_g
7	8	0.119	*	2791_g	2203_g	2186_g	2262_g	2159_g	1255_g	1989_g,2271_g
7	8	0.119	*	6774_g	4502_g	2661_g	4615_g	4509_g	3962_g	13311_g,9358_g
7	8	0.118	*	3973_g	2456_g	2449_g	2528_g	2414_g	1502_g	6766_g,8146_g
7	8	0.113	*	6641_g	412_g	571_g	423_g	399_g	1708_g	13622_g,9041_g
7	8	0.113	649_g	1871_g	*	1654_g	1434_g	1363_g	4822_g	4410_g,8425_g
7	8	0.112	*	3900_g	522_g	3648_g	538_g	501_g	1605_g	10461_g,12798_g
7	8	0.11	*	829_g	2103_g	817_g	2151_g	2061_g	1157_g	145_g,245_g
7	8	0.109	*	3553_g	2428_g	2421_g	2498_g	2385_g	1476_g	1872_g,2389_g
7	8	0.109	*	5369_g	3679_g	3327_g	3768_g	3616_g	3066_g	12930_g,9732_g
7	8	0.108	*	3015_g	1744_g	1431_g	1787_g	1715_g	2537_g	10779_g,11576_g
7	8	0.107	*	2362_g	105_g	4639_g	113_g	98_g	834_g	13418_g,9249_g
7	8	0.106	*	1023_g	3869_g	4109_g	3953_g	3862_g	2202_g	10025_g,12493_g
7	8	0.106	*	1519_g	2666_g	705_g	2743_g	2643_g	757_g	7232_g,7684_g
7	7	0.654	244_g	1448_g	2033_g	155_g	2072_g	1990_g	1086_g	*
7	7	0.639	247_g	4004_g	1348_g	1694_g	1395_g	1327_g	4782_g	*
7	7	0.616	650_g	6448_g	1390_g	1653_g	1435_g	1364_g	4823_g	*
7	7	0.592	762_g	249_g	2453_g	2446_g	2525_g	2411_g	1499_g	*
7	7	0.591	422_g	308_g	1817_g	1363_g	1859_g	1783_g	2472_g	*
7	7	0.574	*	1673_g	1585_g	1589_g	1637_g	1561_g	2691_g	10060_g
7	7	0.563	1038_g	425_g	2068_g	193_g	2112_g	2026_g	1121_g	*
7	7	0.534	753_g	364_g	50_g	4691_g	56_g	46_g	889_g	*
7	7	0.519	887_g	1421_g	3279_g	922_g	3343_g	3257_g	3226_g	*
7	7	0.508	773_g	649_g	329_g	651_g	334_g	319_g	1787_g	*
7	7	0.487	325_g	*	3386_g	5084_g	3467_g	3370_g	4556_g	6759_g
7	7	0.48	535_g	3937_g	1313_g	1728_g	1360_g	1294_g	4750_g	*
7	7	0.471	177_g	892_g	1371_g	1671_g	1418_g	1347_g	4805_g	*
7	7	0.465	*	974_g	2220_g	2207_g	2281_g	2177_g	1274_g	12780_g
7	7	0.462	1760_g	3732_g	293_g	4469_g	301_g	282_g	4470_g	*
7	7	0.458	546_g	1010_g	977_g	297_g	1008_g	961_g	350_g	*
7	7	0.432	1303_g	2173_g	4543_g	2704_g	4655_g	4552_g	3924_g	*
7	7	0.425	224_g	622_g	2801_g	1234_g	2877_g	2776_g	1908_g	*
7	7	0.423	478_g	6863_g	3737_g	3979_g	3816_g	3734_g	2980_g	*
7	7	0.422	*	1486_g	2058_g	182_g	2103_g	2017_g	1112_g	6447_g
7	7	0.42	824_g	1954_g	1832_g	1344_g	1874_g	1800_g	2458_g	*
7	7	0.415	1339_g	822_g	1542_g	1630_g	1593_g	1521_g	3361_g	*
7	7	0.414	551_g	7173_g	4516_g	2675_g	4629_g	4523_g	3949_g	*
7	7	0.409	441_g	904_g	396_g	587_g	405_g	384_g	1721_g	*
7	7	0.409	968_g	2905_g	2075_g	200_g	2119_g	2033_g	1128_g	*
7	7	0.407	1546_g	3361_g	21_g	4720_g	28_g	17_g	915_g	*
7	7	0.406	990_g	3356_g	4124_g	3088_g	4223_g	4140_g	3583_g	*
7	7	0.403	1579_g	2062_g	2191_g	2174_g	2248_g	2147_g	1242_g	*
7	7	0.401	1150_g	931_g	446_g	542_g	456_g	429_g	1680_g	*
7	7	0.398	731_g	6491_g	1906_g	32_g	1941_g	1869_g	969_g	*
7	7	0.397	907_g	3187_g	1682_g	1494_g	1740_g	1655_g	2597_g	*
7	7	0.395	412_g	997_g	1264_g	1777_g	1310_g	1243_g	4702_g	*
7	7	0.393	1800_g	4251_g	2443_g	2436_g	2512_g	2401_g	1489_g	*
7	7	0.391	1165_g	1632_g	4514_g	2673_g	4627_g	4521_g	3951_g	*
7	7	0.39	378_g	2771_g	3686_g	3333_g	3774_g	3610_g	3060_g	*
7	7	0.382	35_g	2285_g	3548_g	3200_g	3628_g	3555_g	3191_g	*
7	7	0.373	170_g	3113_g	1913_g	40_g	1948_g	1876_g	977_g	*
7	7	0.373	1790_g	743_g	1809_g	1370_g	1851_g	1776_g	2479_g	*
7	7	0.368	1312_g	2833_g	3749_g	3990_g	3827_g	3745_g	2969_g	*
7	7	0.368	515_g	2554_g	546_g	3625_g	559_g	524_g	1584_g	*
7	7	0.366	726_g	2140_g	2334_g	2321_g	2402_g	2293_g	1387_g	*
7	7	0.366	940_g	3203_g	856_g	419_g	892_g	838_g	244_g	*
